V_1,I_1,P_1,V_2,I_2,P_2,Irr,T
123.66433,1.369483,169.356168,123.664344,1.383728,171.117805,100,40
124.348117,1.368374,170.154669,124.348132,1.383594,172.047326,100,40
125.031898,1.367168,170.93956,125.031915,1.383458,172.976415,100,40
125.715675,1.365858,171.709729,125.715692,1.38332,173.905048,100,40
126.399445,1.364428,172.462935,126.399464,1.38318,174.833198,100,40
127.083208,1.362873,173.198297,127.083229,1.383037,175.760837,100,40
127.766965,1.36118,173.913789,127.766986,1.382892,176.687932,100,40
128.450713,1.359334,174.607473,128.450737,1.382744,177.614451,100,40
129.134453,1.357324,175.277243,129.134478,1.382592,178.540355,100,40
129.818184,1.355132,175.920811,129.818211,1.382438,179.465605,100,40
130.501904,1.352752,176.536747,130.501934,1.38228,180.390158,100,40
131.185613,1.350146,177.119767,131.185645,1.382117,181.313965,100,40
131.86931,1.347307,177.668499,131.869345,1.381951,182.236975,100,40
132.552994,1.34422,178.180408,132.553032,1.38178,183.159133,100,40
133.236664,1.340859,178.651613,133.236705,1.381604,184.080377,100,40
133.920319,1.337202,179.078541,133.920363,1.381423,185.000642,100,40
134.603956,1.333221,179.456812,134.604004,1.381236,185.919857,100,40
135.287576,1.328903,179.784076,135.287628,1.381042,186.837944,100,40
135.971177,1.32421,180.054339,135.971233,1.380842,187.754818,100,40
136.654757,1.319117,180.263641,136.654818,1.380635,188.670388,100,40
137.338314,1.313597,180.407227,137.338381,1.380419,189.584556,100,40
138.021848,1.30762,180.480122,138.021921,1.380195,190.497213,100,40
138.705357,1.301155,180.477151,138.705436,1.379962,191.408243,100,40
139.388839,1.294171,180.392955,139.388924,1.379719,192.31752,100,40
140.072292,1.286636,180.222018,140.072384,1.379465,193.224905,100,40
140.755714,1.278518,179.958692,140.755815,1.379199,194.130252,100,40
141.439105,1.269784,179.597147,141.439214,1.37892,195.033397,100,40
142.122462,1.260405,179.13183,142.12258,1.378628,195.934166,100,40
142.805784,1.250346,178.556662,142.805912,1.378321,196.832369,100,40
143.489068,1.239578,177.86592,143.489207,1.377998,197.727801,100,40
144.172314,1.228071,177.053866,144.172464,1.377657,198.620237,100,40
144.85552,1.215797,176.114871,144.855682,1.377298,199.509437,100,40
145.53869,1.202817,175.056421,145.538864,1.376918,200.395139,100,40
146.221807,1.18884,173.834323,146.221994,1.376517,201.277053,100,40
146.904884,1.174111,172.482588,146.905086,1.376092,202.154877,100,40
147.587916,1.158519,170.98335,147.588134,1.375641,203.028273,100,40
148.270902,1.142046,169.332237,148.271136,1.375162,203.89688,100,40
148.95378,1.123475,167.345874,148.954031,1.374654,204.760216,100,40
149.636732,1.106402,165.558449,149.637,1.374113,205.618113,100,40
150.319574,1.087209,163.428746,150.319861,1.373537,206.469851,100,40
151.002368,1.06709,161.133147,151.002674,1.372923,207.315013,100,40
151.685112,1.046043,158.669141,151.685438,1.372268,208.153054,100,40
152.367805,1.024053,156.032729,152.368153,1.371569,208.983382,100,40
153.05045,1.001152,153.226794,153.05082,1.370822,209.805359,100,40
153.733045,0.977328,150.247628,153.733438,1.370023,210.618288,100,40
154.41559,0.952578,147.092898,154.416006,1.369168,211.421414,100,40
155.098085,0.926917,143.763119,155.098527,1.368252,212.213921,100,40
155.780532,0.900357,140.258044,155.780999,1.367271,212.994919,100,40
156.462929,0.872908,136.577733,156.463423,1.36622,213.763448,100,40
157.145278,0.844585,132.722558,157.145799,1.365092,214.518463,100,40
157.827584,0.815487,128.706366,157.828132,1.363881,215.258844,100,40
158.509833,0.785378,124.490159,158.51041,1.362578,215.982719,100,40
159.19204,0.754528,120.114846,159.192647,1.361185,216.690615,100,40
159.874201,0.722871,115.568375,159.874837,1.359684,217.379254,100,40
160.556315,0.690425,110.852123,160.556983,1.35807,218.047678,100,40
161.238384,0.657211,105.967605,161.239084,1.356335,218.694189,100,40
161.920409,0.623247,100.916448,161.92114,1.354468,219.316947,100,40
162.602389,0.588555,95.700369,162.603153,1.352458,219.913958,100,40
163.284326,0.553153,90.32116,163.285123,1.350295,220.48306,100,40
163.966218,0.517062,84.780665,163.967049,1.347965,221.02191,100,40
164.648068,0.480302,79.08077,164.648933,1.345456,221.527969,100,40
165.329875,0.442893,73.223387,165.330775,1.342754,221.998489,100,40
166.01164,0.404853,67.210325,166.012575,1.339841,222.430489,100,40
166.693362,0.366208,61.044426,166.694332,1.336703,222.820743,100,40
167.375041,0.326964,54.725592,167.376048,1.33332,223.165759,100,40
168.056678,0.28715,48.257522,168.057721,1.329673,223.461754,100,40
168.738273,0.246782,41.641556,168.739352,1.325741,223.704634,100,40
169.419825,0.205876,34.879559,169.42094,1.321501,223.889971,100,40
170.101333,0.164452,27.973452,170.102485,1.316914,224.010309,100,40
170.782799,0.122523,20.924823,170.783988,1.312001,224.068774,100,40
171.46422,0.080108,13.735602,171.465446,1.306682,224.05079,100,40
172.145592,0.037222,6.407621,172.146856,1.300879,223.942162,100,40
172.731925,-5.5e-05,-0.009467,172.82853,1.294759,223.771274,100,40
172.731953,-5.7e-05,-0.009779,173.512038,1.288065,223.494803,100,40
172.731953,-5.7e-05,-0.009783,174.19552,1.280843,223.117192,100,40
172.731954,-5.7e-05,-0.00979,175.562394,1.264647,222.024531,100,40
172.731954,-5.7e-05,-0.009793,176.245782,1.25558,221.290767,100,40
172.731954,-5.7e-05,-0.009786,174.878973,1.273052,222.630102,100,40
172.731955,-5.7e-05,-0.009803,178.295715,1.223873,218.211379,100,40
172.731955,-5.7e-05,-0.009801,177.612445,1.235251,219.395959,100,40
172.731955,-5.7e-05,-0.009798,176.929133,1.2458,220.418343,100,40
172.731956,-5.7e-05,-0.009805,178.978939,1.211605,216.851794,100,40
172.731956,-5.7e-05,-0.00981,180.345237,1.184115,213.54949,100,40
172.731956,-5.7e-05,-0.009813,181.028303,1.168743,211.575476,100,40
172.731956,-5.7e-05,-0.009808,179.662114,1.198376,215.302844,100,40
172.731956,-5.7e-05,-0.009817,182.394248,1.134325,206.894409,100,40
172.731956,-5.7e-05,-0.009815,181.711308,1.152176,209.363352,100,40
172.731957,-5.7e-05,-0.00982,183.759911,1.094384,201.103858,100,40
172.731957,-5.7e-05,-0.009824,185.12525,1.04809,194.027909,100,40
172.731957,-5.7e-05,-0.009827,187.172543,0.964618,180.549981,100,40
172.731957,-5.7e-05,-0.009828,185.807783,1.022265,189.94486,100,40
172.731957,-5.7e-05,-0.009822,184.442624,1.07209,197.739068,100,40
