V,I,P,Irr,T
53.20055,2.788290729,148.3386003,100,40
53.4285,2.788208111,148.9697771,100,40
53.65645,2.788125493,149.6009161,100,40
53.8844,2.788042874,150.2320174,100,40
54.11235,2.787960254,150.8630811,100,40
54.3403,2.787877634,151.494107,100,40
54.56825,2.787795013,152.1250952,100,40
54.7962,2.787712392,152.7560458,100,40
55.02415,2.78762977,153.3869586,100,40
55.2521,2.787547147,154.0178337,100,40
55.48005,2.787464523,154.6486711,100,40
55.708,2.787381899,155.2794708,100,40
55.93595,2.787299274,155.9102328,100,40
56.1639,2.787216648,156.5409571,100,40
56.39185,2.787134021,157.1716436,100,40
56.6198,2.787051393,157.8022925,100,40
56.84775,2.786968764,158.4329036,100,40
57.0757,2.786886135,159.063477,100,40
57.30365,2.786803504,159.6940126,100,40
57.5316,2.786720873,160.3245106,100,40
57.75955,2.78663824,160.9549708,100,40
57.9875,2.786555606,161.5853932,100,40
58.21545,2.786472972,162.215778,100,40
58.4434,2.786390336,162.8461249,100,40
58.67135,2.786307699,163.4764342,100,40
58.8993,2.78622506,164.1067057,100,40
59.12725,2.786142421,164.7369395,100,40
59.3552,2.78605978,165.3671355,100,40
59.58315,2.785977138,165.9972937,100,40
59.8111,2.785894495,166.6274142,100,40
60.03905,2.78581185,167.2574969,100,40
60.267,2.785729203,167.8875419,100,40
60.49495,2.785646556,168.5175491,100,40
60.7229,2.785563906,169.1475185,100,40
60.95085,2.785481255,169.7774502,100,40
61.1788,2.785398602,170.407344,100,40
61.40675,2.785315948,171.0372001,100,40
61.6347,2.785233292,171.6670184,100,40
61.86265,2.785150634,172.2967989,100,40
62.0906,2.785067974,172.9265415,100,40
62.31855,2.784985312,173.5562464,100,40
62.5465,2.784902648,174.1859135,100,40
62.77445,2.784819982,174.8155427,100,40
63.0024,2.784737314,175.4451342,100,40
63.23035,2.784654644,176.0746878,100,40
63.4583,2.784571972,176.7042035,100,40
63.68625,2.784489297,177.3336815,100,40
63.9142,2.784406619,177.9631216,100,40
64.14215,2.784323939,178.5925238,100,40
64.3701,2.784241257,179.2218881,100,40
64.59805,2.784158572,179.8512146,100,40
64.826,2.784075884,180.4805033,100,40
65.05395,2.783993193,181.109754,100,40
